NV_PN,JEDEC_TYPE,DESCRIPTION,COSTS,MPN,MANUFACTURER,COMPLIANCE,LEAD_TIME,SOURCE_EXPANSION,PACK_TYPE,TEMP_RANGE
090-0260-000,DIODE_SMD_0201,DIODE SLP_2PIN DF2S8.2ASL 1 line Uni-Directional 7.7V 20pF,0.009,DF2S8.2ASL,Toshiba Semi & Storage,P8E10,56,CCM,SLP_2PIN,-55degC..150degC
215-0309-000,RES_04_SMD_064X032_RKO,RES SENSE 2512_2PIN_KELVIN 2.0mohm 1.0% 75.0ppm 2.0W,0.50,ERJMP4PF2M0U,Panasonic,P8E0-A-2,140,UNRESTRICTED,2512_2PIN_KELVIN,-65.15degC..170.05degC
195-0060-000,0402,RES SCD 0402 13K 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
032-0225-000,0402,CAP AUTOMOTIVE C0G 0402 820.0pF +/-5.0% 50V,0.00253,UMK105CG821JVHF~VERA,Taiyo Yuden,P8E10,56,AUTOMOTIVE,0402,-55degC..125degC
080-1326-000,CON_FMC_400_BGA_ST_M_P013,Interconnect (SMD) HDR SMD TERMINAL ARRAY ASSEMBLY MALE VERT 400 POS 1.27mm PITCH 7.11mm HEIGHT,19.04,ASP-134488-01,Samtec,P8E0-A-2,49,CCM,BGA400,CON_FMC_400_BGA_ST_M_P013
032-0848-000,0402_LARGE,CAP X6S 0402W 4.7uF +/-20.0% 4.0V,0,C1005X6S0G475M050BC,TDK,P8E0-A-2,999,UNRESTRICTED,0402W,-55degC..105degC
080-1349-000,CON_QTH_120_SMT_ST_P005,CONN 2X60 HI-SPEED PLUG HEAVY GOLD 0.50MM PITCH WITH ALIGN PIN SMD,4.193,QTH-060-01-H-D-A-K-TR,Samtec,P8E0-A-2,49,CCM,M_NORM,CON_QTH_120_SMT_ST_P005
115-1337-000,SOT363_B,IC Other UM4157 SOT363,[ ],UM4157,Union,P8E8,60,CCM,SOT363,-45degC..85degC
195-2503-000,0201,RES SCD 0201 4.87K 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
195-2206-000,0201,RES SCD 0201 11.8 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
195-2472-000,0201,RES SCD 0201 422 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
300-0924-000,SOT323,N-CH MOSFET AUTOMOTIVE SOT323_1G1D1S 0.2A 20.0V 0.33W NVS4001NT1G,0.0305,NVS4001NT1G,ON SEMI,P8E0-A-1,56,AUTOMOTIVE,SOT323_1G1D1S,-55.15degC..150.05degC
